[10:51:42] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
[10:51:43] 26cfa7762b4a   minifab                                                                                                                100.76%   24.3MiB / 15.49GiB    0.15%     1.21kB / 0B       0B / 0B          2
[10:51:43] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
[10:51:43] f843f967e4d3   explorer.network1                                                                                                      0.08%     152.9MiB / 15.49GiB   0.96%     1.97GB / 620MB    103MB / 155MB    35
[10:51:43] ec0fb0d1225d   explorerdb.network1                                                                                                    0.03%     49.04MiB / 15.49GiB   0.31%     136MB / 820MB     52.6MB / 731MB   9
[10:51:43] b5df462694ad   dev-peer2.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.246MiB / 2GiB       0.30%     57MB / 17.2MB     8.08MB / 0B      12
[10:51:43] 97a57b753fbc   dev-peer1.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.359MiB / 2GiB       0.31%     35.9MB / 11.6MB   7.54MB / 0B      12
[10:51:43] 49169ba2e361   dev-peer2.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.391MiB / 2GiB       0.31%     68.7MB / 20.5MB   6.91MB / 0B      12
[10:51:43] 4806414fc675   dev-peer2.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.344MiB / 2GiB       0.31%     78.7MB / 23.2MB   7.31MB / 0B      12
[10:51:43] 6f065b60b272   dev-peer1.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.238MiB / 2GiB       0.30%     46.4MB / 14.5MB   6.76MB / 0B      12
[10:51:43] a358898e2b29   dev-peer1.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.355MiB / 2GiB       0.31%     57.9MB / 17.6MB   6.66MB / 0B      12
[10:51:43] 04c27243e826   dev-peer2.org1.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.043MiB / 2GiB       0.25%     24.8MB / 8.16MB   4.34MB / 0B      12
[10:51:43] 4335f8b51d4a   dev-peer1.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.297MiB / 2GiB       0.26%     24.8MB / 8.15MB   4.03MB / 0B      13
[10:51:43] 637e30ee7d33   dev-peer1.org3.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.02MiB / 2GiB        0.25%     24.8MB / 8.16MB   3.63MB / 0B      13
[10:51:43] 1665e3ea088a   dev-peer2.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.844MiB / 2GiB       0.24%     24.8MB / 8.17MB   4.69MB / 0B      13
